Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16718268k(8491116k free), swap 19208636k(3951692k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2022-01-17T00:24:00.698+0800: 2.756: [Full GC (Ergonomics) [PSYoungGen: 131542K->20172K(153088K)] [ParOldGen: 349516K->349425K(349696K)] 481059K->369597K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0400023 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.748+0800: 2.806: [Full GC (Ergonomics) [PSYoungGen: 131584K->18805K(153088K)] [ParOldGen: 349425K->349434K(349696K)] 481009K->368239K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0429896 secs] [Times: user=0.45 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.801+0800: 2.859: [Full GC (Ergonomics) [PSYoungGen: 131584K->25563K(153088K)] [ParOldGen: 349434K->349673K(349696K)] 481018K->375236K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0403457 secs] [Times: user=0.47 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.852+0800: 2.910: [Full GC (Ergonomics) [PSYoungGen: 131584K->21653K(153088K)] [ParOldGen: 349673K->349636K(349696K)] 481257K->371289K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0404357 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.903+0800: 2.961: [Full GC (Ergonomics) [PSYoungGen: 131584K->25303K(153088K)] [ParOldGen: 349636K->349126K(349696K)] 481220K->374430K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0399360 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.954+0800: 3.012: [Full GC (Ergonomics) [PSYoungGen: 131486K->31273K(153088K)] [ParOldGen: 349126K->348749K(349696K)] 480612K->380022K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0422678 secs] [Times: user=0.47 sys=0.00, real=0.04 secs] 
Heap
 PSYoungGen      total 153088K, used 86274K [0x00000000f5580000, 0x0000000100000000, 0x0000000100000000)
  eden space 131584K, 65% used [0x00000000f5580000,0x00000000fa9c08f0,0x00000000fd600000)
  from space 21504K, 0% used [0x00000000feb00000,0x00000000feb00000,0x0000000100000000)
  to   space 21504K, 0% used [0x00000000fd600000,0x00000000fd600000,0x00000000feb00000)
 ParOldGen       total 349696K, used 348749K [0x00000000e0000000, 0x00000000f5580000, 0x00000000f5580000)
  object space 349696K, 99% used [0x00000000e0000000,0x00000000f54937d8,0x00000000f5580000)
 Metaspace       used 2709K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 291K, capacity 386K, committed 512K, reserved 1048576K
